id	front	definition	example	translation	tags
fr-b2-001	pertinent / pertinente (adj.)	adapté au sujet	Il a posé une question pertinente.	pertinente	b2 adj awl
fr-b2-002	viable (adj.)	réalisable	La proposition n'est pas viable.	viable	b2 adj awl
fr-b2-003	inéluctable (adj.)	inévitable	L'affrontement était inéluctable.	ineludible	b2 adj
fr-b2-004	incontournable (adj.)	qu'on ne peut éviter ; essentiel	C'est une référence incontournable.	imprescindible	b2 adj
fr-b2-005	sensible (adj.)	qui perçoit facilement ; délicat	C'est un sujet sensible.	sensible; delicado	b2 adj keyword
fr-b2-006	subtil / subtile (adj.)	peu perceptible	Il y a une différence subtile.	sutil	b2 adj
fr-b2-007	ambigu / ambiguë (adj.)	à double sens	La réponse était ambiguë.	ambiguo	b2 adj awl
fr-b2-008	cohérent / cohérente (adj.)	sans contradiction	L'argument est cohérent.	coherente	b2 adj awl
fr-b2-009	sous-jacent / sous-jacente (adj.)	implicite, en dessous	Il y a un problème sous-jacent.	subyacente	b2 adj awl
fr-b2-010	ancré / ancrée (adj.)	fixé profondément	C'est une habitude ancrée.	arraigado	b2 adj
fr-b2-011	naissant / naissante (adj.)	qui commence	Un marché naissant.	incipiente	b2 adj
fr-b2-012	consolider (v.)	rendre solide et durable	L'entreprise a consolidé sa position.	consolidar	b2 verb awl
fr-b2-013	attribuer (v.)	donner comme cause ou mérite	On attribue l'erreur à la précipitation.	atribuir	b2 verb awl
fr-b2-014	entraîner (v.)	avoir pour conséquence ; entraîner quelqu'un	Le changement a entraîné des coûts.	conllevar; entrenar	b2 verb keyverb
fr-b2-015	déclencher (v.)	provoquer une série d'effets	La nouvelle a déclenché des protestations.	desencadenar	b2 verb
fr-b2-016	atténuer (v.)	réduire l'intensité	Des mesures pour atténuer l'impact.	mitigar	b2 verb awl
fr-b2-017	se passer de (loc.)	renoncer à, faire sans	On ne peut pas se passer d'elle.	prescindir de	b2 verb chunk
fr-b2-018	encourir (v.)	s'exposer à	Nous encourons des frais supplémentaires.	incurrir	b2 verb
fr-b2-019	entrer en vigueur (loc.)	devenir applicable	La norme est entrée en vigueur en 2024.	entrar en vigor	b2 verb chunk civic
fr-b2-020	présupposer (v.)	admettre comme condition	Cela présuppose la bonne foi.	presuponer	b2 verb awl
fr-b2-021	constater (v.)	vérifier comme un fait	Nous constatons une amélioration.	constatar	b2 verb awl
fr-b2-022	écarter (v.)	éliminer une possibilité	Nous avons écarté cette hypothèse.	descartar	b2 verb
fr-b2-023	privilégier (v.)	donner la préférence	Le texte privilégie la clarté.	privilegiar	b2 verb
fr-b2-024	étayer (v.)	appuyer par des preuves	Les données étayent la thèse.	respaldar, sustentar	b2 verb
fr-b2-025	remettre en question (loc.)	mettre en doute	Cela remet en question nos choix.	poner en cuestión	b2 verb chunk
fr-b2-026	approche (n.f.)	manière d'aborder	L'approche était innovante.	enfoque	b2 noun awl
fr-b2-027	cadre (n.m.)	structure, contexte ; aussi un employé qualifié	Dans le cadre juridique, c'est différent.	marco; directivo	b2 noun awl keyword
fr-b2-028	biais (n.m.)	inclinaison qui déforme	Il y a un biais dans l'échantillon.	sesgo	b2 noun awl
fr-b2-029	lacune (n.f.)	espace vide, manque	Il existe une lacune dans la loi.	laguna, vacío	b2 noun awl
fr-b2-030	réserve (n.f.)	restriction, nuance	J'approuve, avec une réserve.	reserva, salvedad	b2 noun
fr-b2-031	présupposé (n.m.)	condition admise d'avance	Le présupposé est faux.	presupuesto (premisa)	b2 noun awl
fr-b2-032	portée (n.f.)	étendue de l'effet	La portée de la mesure est limitée.	alcance	b2 noun awl
fr-b2-033	obstacle (n.m.)	ce qui empêche	La bureaucratie est un obstacle.	obstáculo	b2 noun
fr-b2-034	panorama (n.m.)	vue d'ensemble	Le panorama économique s'est amélioré.	panorama	b2 noun
fr-b2-035	tendance (n.f.)	direction probable	La tendance est à la baisse.	tendencia	b2 noun awl
fr-b2-036	indice (n.m.)	signe qui suggère	Il y a des indices de fraude.	indicio	b2 noun
fr-b2-037	démarche (n.f.)	étape administrative ; manière de procéder	Les démarches sont longues.	trámite; enfoque	b2 noun civic keyword
fr-b2-038	avis (n.m.)	opinion ; avis officiel	À mon avis, c'est risqué.	opinión; dictamen	b2 noun
