id	front	definition	example	translation	tags
fr-a1-001	temps (n.m.)	ce qui passe en heures et en jours ; aussi la météo	Je n'ai pas le temps de parler maintenant.	tiempo	a1 noun top100
fr-a1-002	personne (n.f.)	un être humain	C'est une personne très gentille.	persona	a1 noun top100
fr-a1-003	an / année (n.)	période de douze mois	J'habite ici depuis deux ans.	año	a1 noun top100
fr-a1-004	jour (n.m.)	période de vingt-quatre heures	Quel jour sommes-nous ?	día	a1 noun top100
fr-a1-005	chose (n.f.)	un objet ou un sujet quelconque	J'ai une chose à te dire.	cosa	a1 noun top100
fr-a1-006	homme (n.m.)	personne adulte de sexe masculin	Cet homme est mon père.	hombre	a1 noun top100
fr-a1-007	femme (n.f.)	personne adulte de sexe féminin ; aussi l'épouse	La femme au chapeau est ma tante.	mujer; esposa	a1 noun top100
fr-a1-008	maison (n.f.)	bâtiment où on habite	Ma maison est près de la mer.	casa	a1 noun top100
fr-a1-009	travail (n.m.)	activité qu'on fait pour gagner de l'argent	Je vais au travail en bus.	trabajo	a1 noun top100
fr-a1-010	vie (n.f.)	le temps pendant lequel quelqu'un vit	La vie à Paris est chère.	vida	a1 noun top100
fr-a1-011	main (n.f.)	partie du corps au bout du bras	Lave-toi les mains avant de manger.	mano	a1 noun body
fr-a1-012	enfant (n.)	personne très jeune, garçon ou fille	Les enfants jouent dans le parc.	niño, niña	a1 noun family
fr-a1-013	œil / yeux (n.m.)	organe de la vue (pluriel irrégulier : yeux)	Elle a les yeux verts.	ojo	a1 noun body
fr-a1-014	endroit (n.m.)	un lieu, une place	C'est un bon endroit pour manger.	lugar	a1 noun top100
fr-a1-015	semaine (n.f.)	période de sept jours	Je travaille cinq jours par semaine.	semana	a1 noun time
fr-a1-016	famille (n.f.)	parents, enfants et proches	Ma famille est grande.	familia	a1 noun family
fr-a1-017	problème (n.m.)	une difficulté (attention : masculin)	Pas de problème, j'attends.	problema	a1 noun top100 gender
fr-a1-018	ami / amie (n.)	personne qu'on aime bien et en qui on a confiance	Mon ami habite à Lyon.	amigo, amiga	a1 noun people
fr-a1-019	argent (n.m.)	pièces et billets pour acheter	Je n'ai pas assez d'argent.	dinero	a1 noun top100 falsefriend
fr-a1-020	eau (n.f.)	liquide transparent qu'on boit	Un verre d'eau, s'il vous plaît.	agua	a1 noun food
fr-a1-021	nourriture (n.f.)	ce qu'on mange	La nourriture française est délicieuse.	comida	a1 noun food
fr-a1-022	ville (n.f.)	grand lieu avec beaucoup de maisons et de gens	Marseille est une grande ville.	ciudad	a1 noun places
fr-a1-023	rue (n.f.)	voie avec des maisons des deux côtés	J'habite rue des Fleurs.	calle	a1 noun places
fr-a1-024	voiture (n.f.)	véhicule à quatre roues	Ma voiture est au garage.	coche	a1 noun transport
fr-a1-025	bus (n.m.)	grand véhicule pour beaucoup de passagers	Le bus passe à huit heures.	autobús	a1 noun transport
fr-a1-026	école (n.f.)	lieu où les enfants apprennent	L'école commence à huit heures et demie.	escuela	a1 noun places
fr-a1-027	livre (n.m.)	pages avec du texte à lire	Je lis un livre en français.	libro	a1 noun objects
fr-a1-028	nom (n.m.)	mot qui identifie une personne	Quel est votre nom ?	nombre; apellido	a1 noun top100
fr-a1-029	heure (n.f.)	soixante minutes ; aussi le moment de la journée	Quelle heure est-il ? Il est deux heures.	hora	a1 noun time
fr-a1-030	nuit (n.f.)	période sombre de la journée	Bonne nuit ! À demain.	noche	a1 noun time
