id	front	definition	example	translation	tags
a1-001	time (n)	a point or period when something happens	I don't have time to talk now.	tiempo	a1 noun top100
a1-002	person (n)	a human being	She is a kind person.	persona	a1 noun top100
a1-003	year (n)	a period of 365 days	I lived there for two years.	año	a1 noun top100
a1-004	day (n)	a period of 24 hours	What a beautiful day!	día	a1 noun top100
a1-005	thing (n)	an object or matter	I have one more thing to say.	cosa	a1 noun top100
a1-006	world (n)	the Earth and all its people	English is spoken around the world.	mundo	a1 noun top100
a1-007	life (n)	the existence of a person	She has had an interesting life.	vida	a1 noun top100
a1-008	hand (n)	the body part at the end of your arm	He held my hand.	mano	a1 noun top100
a1-009	child (n)	a young human	The child was sleeping.	niño/a	a1 noun top100 irregular-plural
a1-010	woman (n)	an adult female person	The woman next door is a doctor.	mujer	a1 noun top100
a1-011	man (n)	an adult male person	The man at the door asked for you.	hombre	a1 noun top100
a1-012	house (n)	a building where people live	They bought a new house.	casa	a1 noun top100
a1-013	water (n)	the transparent liquid we drink	A glass of water, please.	agua	a1 noun top100
a1-014	food (n)	what you eat	Italian food is delicious.	comida	a1 noun top100
a1-015	family (n)	parents and children	My family lives in Spain.	familia	a1 noun top100
a1-016	be (v)	to exist or have a state	She is happy today.	ser/estar	a1 verb irregular top10
a1-017	have (v)	to possess	I have a brother.	tener	a1 verb irregular top10
a1-018	do (v)	to perform an action	What do you do for work?	hacer	a1 verb irregular top10
a1-019	go (v)	to move or travel	Let's go to the park.	ir	a1 verb irregular top20
a1-020	get (v)	to obtain or receive	I got a new phone.	obtener	a1 verb irregular top20
a1-021	make (v)	to create	She makes great coffee.	hacer/fabricar	a1 verb irregular top20
a1-022	see (v)	to perceive with the eyes	I can see you.	ver	a1 verb irregular top20
a1-023	come (v)	to move toward the speaker	Come here, please.	venir	a1 verb irregular top20
a1-024	eat (v)	to consume food	What do you want to eat?	comer	a1 verb irregular top50
a1-025	drink (v)	to consume liquid	Drink more water.	beber	a1 verb irregular top50
a1-026	sleep (v)	to rest by closing eyes	I sleep eight hours.	dormir	a1 verb irregular top100
a1-027	work (v)	to perform a job	I work in an office.	trabajar	a1 verb top30
a1-028	live (v)	to be alive; to reside	I live in Madrid.	vivir	a1 verb top50
a1-029	want (v)	to desire	I want a coffee.	querer	a1 verb top30
a1-030	like (v)	to find pleasant	I like chocolate.	gustar	a1 verb top30
a1-031	love (v)	to feel strong affection	I love my family.	amar/encantar	a1 verb top50
a1-032	good (adj)	of high quality	This is a good book.	bueno	a1 adjective top100
a1-033	bad (adj)	not good	A bad day.	malo	a1 adjective top100
a1-034	big (adj)	large	A big problem.	grande	a1 adjective top100
a1-035	small (adj)	little	A small dog.	pequeño	a1 adjective top100
a1-036	new (adj)	recently made	I have a new car.	nuevo	a1 adjective top100
a1-037	old (adj)	having existed a long time	An old house.	viejo	a1 adjective top100
a1-038	happy (adj)	feeling joy	I am happy today.	feliz	a1 adjective top100
a1-039	tired (adj)	needing rest	I am tired.	cansado	a1 adjective top100
a1-040	hot (adj)	high temperature	The soup is hot.	caliente	a1 adjective top100
a1-041	cold (adj)	low temperature	It's cold outside.	frío	a1 adjective top100
a1-042	in (prep)	inside	The book is in the bag.	en/dentro	a1 preposition top10
a1-043	on (prep)	on top of	The phone is on the table.	sobre	a1 preposition top10
a1-044	at (prep)	in a specific place	Meet me at the cafe.	en	a1 preposition top10
a1-045	with (prep)	accompanied by	I'm with my friend.	con	a1 preposition top10
a1-046	and (conj)	in addition to	Bread and butter.	y	a1 conjunction top10
a1-047	but (conj)	however	I'm tired but happy.	pero	a1 conjunction top10
a1-048	because (conj)	for the reason that	I left because I was tired.	porque	a1 conjunction top50
a1-049	always (adv)	at all times	I always wake up at 7.	siempre	a1 adverb top50
a1-050	never (adv)	not at any time	I never drink coffee.	nunca	a1 adverb top50
a1-051	way (n)	a method or manner of doing something	This is the best way to learn.	manera/camino	a1 noun freq:top100
a1-052	part (n)	a piece or section of something	The best part of the movie was the ending.	parte	a1 noun freq:top100
a1-053	eye (n)	the organ used for seeing	She has blue eyes.	ojo	a1 noun freq:top100
a1-054	place (n)	a particular location	This is a nice place to live.	lugar	a1 noun freq:top100
a1-055	week (n)	a period of seven days	See you next week.	semana	a1 noun freq:top100
a1-056	case (n)	a particular situation or instance	In that case, we should leave.	caso	a1 noun freq:top200
